Shipper ID,Tracking ID,Origin Hub Name,Dest Hub Name,Count
11398224,26062815561381MZI9FOHLYO-DO,MAC-MAC,MAC-KD5,1
11398224,26062815561381ZFIQPEPC3-01,MAC-MAC,MAC-JPK,1
11398224,26062815561381ZFIQPEPC3-02,MAC-MAC,MAC-JPK,1
11398224,26062815561381ZFIQPEPC3-DO,MAC-MAC,MAC-KD5,1
11398224,26062822101892IU7UGYGQYM-01,MAC-MAC,BDO-KJT,1
11398224,26062822101892IU7UGYGQYM-DO,BDO-KJT,MAC-KD5,1
11398224,26062822101892TBB5NEN0GT-01,MAC-MAC,BDO-KJT,1
11398224,26062822101892TBB5NEN0GT-02,MAC-MAC,BDO-KJT,1
11398224,26062822101892TBB5NEN0GT-DO,BDO-KJT,MAC-KD5,1
11398224,26062823233707LCZEVPI9B-01,MAC-MAC,CBN-MJL,1
11398224,26062823233707LCZEVPI9B-DO,CBN-MJL,MAC-KD5,1
11398224,26062823464252554KFH45LV-01,MAC-MAC,BDO-PWA,1
11398224,26062823464252554KFH45LV-DO,BDO-BDO,MAC-KD5,1
11398224,26062823464252ZK6SK4KIX-01,MAC-MAC,BDO-PWA,1
11398224,26062823464252ZK6SK4KIX-DO,BDO-BDO,MAC-KD5,1
11398224,26062823515324YIWIHRG9T-01,MAC-MAC,MAC-CLG,1
11398224,26062823515324YIWIHRG9T-DO,MAC-CLG,MAC-KD5,1
11398224,26062823530585AGIQVUQTVN-01,MAC-MAC,BDO-PWA,1
11398224,26062823530585AGIQVUQTVN-DO,BDO-BDO,MAC-KD5,1
11398224,26062823530585LMFDG8KEL-01,MAC-MAC,BDO-PWA,1
11398224,26062823530585LMFDG8KEL-02,MAC-MAC,BDO-PWA,1
11398224,26062823530585LMFDG8KEL-DO,BDO-BDO,MAC-KD5,1
11398224,260629000445398YCH6YZIX-01,MAC-MAC,CBN-MJL,1
11398224,260629000445398YCH6YZIX-DO,CBN-MJL,MAC-KD5,1
11398224,26062900044539UVJ7ZBIZA4-01,MAC-MAC,CBN-MJL,1
11398224,26062900044539UVJ7ZBIZA4-02,MAC-MAC,CBN-MJL,1
11398224,26062900044539UVJ7ZBIZA4-DO,CBN-MJL,MAC-KD5,1
11398224,26062900115944CGW3GWX1P7-01,MAC-MAC,BDO-PWA,1
11398224,26062900115944CGW3GWX1P7-DO,BDO-BDO,MAC-KD5,1
11398224,26062900115944EH9T1P7GFY-01,MAC-MAC,BDO-PWA,1
11398224,26062900115944EH9T1P7GFY-DO,MAC-MAC,MAC-KD5,1
11398224,26062900115944WM3SS28G-01,MAC-MAC,BDO-PWA,1
11398224,26062900115944WM3SS28G-DO,BDO-BDO,MAC-KD5,1
